Date,Open,High,Low,Close,Adj Close,Volume
2019-08-23,46.099998,46.540001,44.720001,44.950001,41.135818,13059000
2019-08-26,45.380001,45.700001,43.759998,44.740002,40.943642,6997400
2019-08-27,45.349998,45.599998,43.439999,44.380001,40.614185,12602900
2019-08-28,43.959999,44.299999,43.639999,44.009998,40.275581,8452100
2019-08-29,44.209999,45.220001,44.029999,45.080002,41.254795,8744900
2019-08-30,45.180000,46.560001,45.090000,46.240002,42.316357,11986000
2019-09-02,46.240002,46.790001,45.400002,45.650002,41.776424,5389200
2019-09-03,45.400002,46.320000,44.619999,44.799999,40.998543,11078700
2019-09-04,45.380001,45.930000,44.980000,45.860001,41.968597,7026800
2019-09-05,46.099998,47.779999,46.090000,47.459999,43.432827,12359200
2019-09-06,47.900002,49.389999,47.900002,49.389999,45.199074,14039100
2019-09-09,49.549999,50.529999,49.270000,50.000000,45.757305,13483300
2019-09-10,50.349998,50.500000,48.880001,49.160000,44.988586,8448200
2019-09-11,49.500000,49.970001,47.990002,47.990002,43.917858,14094600
2019-09-12,48.320000,48.369999,47.400002,48.000000,44.141285,10199500
2019-09-13,48.070000,48.500000,46.900002,47.139999,43.350426,7975100
2019-09-16,47.040001,47.560001,46.299999,46.650002,42.899807,8175500
2019-09-17,46.389999,47.450001,46.119999,47.299999,43.497559,6744200
2019-09-18,47.459999,48.250000,47.160000,48.020000,44.159687,8528300
2019-09-19,48.410000,48.700001,46.770000,46.770000,43.010166,9661800
2019-09-20,47.000000,47.980000,46.900002,47.509998,43.690674,15297300
2019-09-23,47.439999,47.740002,46.860001,47.279999,43.479172,5747300
2019-09-24,47.389999,47.560001,45.599998,45.840000,42.154934,11999100
2019-09-25,45.840000,45.840000,44.799999,45.540001,41.879051,10914800
2019-09-26,45.790001,46.209999,45.209999,45.709999,42.035385,8760600
2019-09-27,45.500000,46.080002,45.250000,45.340000,41.695129,7936500
2019-09-30,45.500000,45.900002,45.480000,45.490002,41.833065,5431300
2019-10-01,45.709999,45.709999,44.810001,44.950001,41.336479,6592200
2019-10-02,44.610001,44.610001,43.360001,43.419998,39.929466,19222600
2019-10-03,43.770000,45.290001,43.619999,45.290001,41.649143,15384000
2019-10-04,45.369999,45.599998,44.619999,45.599998,41.934223,7228200
2019-10-07,45.099998,45.230000,43.759998,43.799999,40.278923,13243600
2019-10-08,44.200001,44.330002,43.009998,43.009998,39.552425,11777200
2019-10-09,43.570000,44.340000,43.099998,44.200001,40.646767,9264000
2019-10-10,44.290001,44.820000,44.020000,44.400002,40.830692,6469000
2019-10-11,44.799999,45.389999,44.750000,45.230000,41.593967,9108300
2019-10-14,45.240002,45.560001,44.830002,45.000000,41.382450,6863500
2019-10-15,44.970001,45.180000,44.270000,44.380001,40.812294,14788500
2019-10-16,44.400002,45.360001,43.900002,45.000000,41.382450,15239700
2019-10-17,45.330002,45.700001,44.580002,44.910000,41.299694,24953800
2019-10-18,46.000000,46.549999,45.500000,46.060001,42.357239,47116600
2019-10-21,46.299999,46.750000,45.770000,46.400002,42.669914,15751100
2019-10-22,46.500000,47.669998,46.439999,47.400002,43.589527,17097300
2019-10-23,47.349998,48.360001,46.880001,47.599998,43.773449,20761300
